"X","Dam_Name","Continent","Lat","Long","Source","Flag","Article_source","ORD_FLOW","Capacity","up_area_sk","row_min_ppt","sgr_dk_rav","row_min_tmax","row_max_aet","row_median_q","row_max_ppt","row_min_PDSI","row_min_soil","underground"
373,"Daboya","Africa",9.544552,-1.385416667,"http://www.ecowrex.org/eg/daboya","record","A global boom in hydropower dam construction",4,43,100397,0,12,30.3,143.8,2.5,232.9,-6.01,27.4,104
453,"Kesem","Africa",9.09744017,40.16089317,"World Atlas / http://www.2merkato.com/201209191611/dam-at-kesem-sugar-irrigation-project-successfully-retains-water","record","A global boom in hydropower dam construction",5,15,19560.8,0.3,22,32.3,150.4,0.55,190.1,-5.41,1.4,288
693,"Isimba","Africa",0.93541667,32.96458333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,100,267178,24.8,2,28.8,130,3.65,169.9,-9,12.1,77
474,"Nzebela","Africa",8.05532,-9.064583333,"http://www.ecowrex.org/eg/nzebela","record","A global boom in hydropower dam construction",4,48,3999.7,0.7,22,29.3,149.4,7.2,391.3,-5.1,43.9,276
667,"Ayago","Africa",2.36458333,31.92,"http://en.wikipedia.org/wiki/Ayago_Power_Station","record","A global boom in hydropower dam construction",3,600,350148,5.8,42,29.7,134,3.25,151.8,-8.21,10.8,171
610,"Boloubre","Africa",5.543718667,-6.485385333,"http://infrastructureafrica.org/system/files/library/2011/05/BP09_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",4,156,65002.9,9.3,17,28.2,129.3,4.95,234.2,-4.84,41.3,69
2941,"Kobong","Africa",-29.23645833,28.48020833,"http://www.iliso.com/images/kobong/7.pdf","record","A global boom in hydropower dam construction",5,1000,1342.55,5.2,0,15.1,133.8,4.6,153.2,0.59,2,618
627,"Hemang 2","Africa",5.181593833,-1.597572833,"http://www.ecowrex.org/eg/hemang-2","record","A global boom in hydropower dam construction",4,75,22637.2,18.9,26,27.4,127.3,4.45,362,-2.12,26.8,88
370,"Chemoga-Yeda","Africa",10.30073167,37.76739833,"IHA Hydro report, http://www.2merkato.com/20110929375/hydro-power-project-in-ethiopia-delayed","record","A global boom in hydropower dam construction",6,278,358.828,5.5,496,20.2,115.9,1.95,311.5,-2.66,9.7,321
249,"Bour®¶a","Africa",11.723512,-10.76458333,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",4,161,14785.2,0,5,30,156.4,0.75,337.3,-4.57,35,327
464,"Olougbe","Africa",8.797916667,2.202083333,"http://infrastructureafrica.org/system/files/library/2011/05/BP09_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",5,42,16167.5,0,8,28.6,124.7,3.15,183.5,-6.46,10.4,237
562,"Kpep","Africa",6.815529833,9.976136833,"http://hydro.energy-business-review.com/news/cameroon-signs-1bn-hydro-power--deal-120312","record","A global boom in hydropower dam construction",4,450,4185.53,0,22,29.2,122.8,4.85,382.1,-7.9,76.4,488
537,"Tetetou","Africa",7.0359695,1.5484695,"http://www.ecowrex.org/eg/tetetou","record","A global boom in hydropower dam construction",5,20,20470.8,3.4,2,29.1,111.3,3.3,152.4,-6.44,7.4,132
725,"Grand Poubara ","Africa",-1.59344883,13.46428217,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,160,15184.6,3.8,32,28.5,118.2,46.95,429.9,-4.83,95,187
576,"Daboite","Africa",5.947916667,-4.842222,"http://infrastructureafrica.org/system/files/BP5_PowerSpending_maintxt%20new.pdf","record","A global boom in hydropower dam construction",4,91,60655.4,4.5,24,28.9,143.2,3.4,208.4,-4.65,11.7,99
230,"Sotuba 2","Africa",12.66041667,-7.889583333,"http://www.ecowrex.org/eg/sotuba-2","record","A global boom in hydropower dam construction",3,27,115154,0,10,30.5,145.4,1.15,288.2,-4.7,17.3,275
696,"Nyamwamba","Africa",0.230849833,29.98581683,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",7,14,85.2182,33.4,568,23.3,96.1,5.55,206.3,-3.6,41.1,736
591,"Son Mbengue","Africa",6.014583333,10.03541667,"http://caa-cam.org/index.php?pid=292","record","A global boom in hydropower dam construction",5,930,504.095,0,37,26.1,125.1,6.95,440,-6.92,59.9,342
578,"Sedukrom","Africa",5.985416667,-2.547916667,"http://www.ecreee.org/sites/default/files/workshop_report_part_1_-_proceedings.pdf","record","A global boom in hydropower dam construction",5,17,8905.25,10.7,25,28.3,136.8,4.9,290.9,-5.39,91.3,304
631,"Palambo","Africa",4.710416833,18.95625017,"http://www.au-pida.org/node/156","record","A global boom in hydropower dam construction",3,30,489797,0,2,29.8,126.2,4.5,276.4,-12.56,10,249
331,"Kulpwan","Africa",10.11458333,-1.927083333,"http://www.ecowrex.org/eg/kulpwan","record","A global boom in hydropower dam construction",6,36,6680.97,0,9,29.7,141.7,2.15,225.7,-4.44,23.2,181
872,"Cahora Bassa North","Africa",-15.62252083,29.76914583,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",7,1200,304.77,0,39,28.5,139.2,1.4,245.4,-3.73,21.2,408
