X,Dam_Name,Continent,Lat,Long,Source,,Flag,Article_source,ORD_FLOW,storage,up_area_sk,dem,underground,sgr_dk_rav,row_max_tmin,row_max_q
75,Santa QuitŽria,Europe,32.6616,-16.9503,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35000dams with location,catchment,and attribute information",8,NA,29.9822,637,500,845,19.3,23.2
76,Socorridos,Europe,32.6632,-16.9601,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35001dams with location,catchment,and attribute information",8,NA,29.6208,637,500,845,19.3,23.2
77,Inverno da Calheta,Europe,32.7215,-17.1789,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35002dams with location,catchment,and attribute information",8,NA,11.0125,637,500,1619,18.3,65.3
79,Calheta,Europe,32.7289,-17.1751,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35003dams with location,catchment,and attribute information",8,NA,10.8319,637,500,1619,18.3,65.3
81,Serra de çgua,Europe,32.7435,-17.019,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35004dams with location,catchment,and attribute information",7,NA,10.1104,637,500,438,16.2,34
82,Faj�?da Nogueira,Europe,32.7432,-16.9069,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35005dams with location,catchment,and attribute information",8,NA,18.9589,678,720,979,14.4,36.6
84,Ribeira da Janela,Europe,32.8555,-17.1546,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35006dams with location,catchment,and attribute information",7,NA,47.8171,678,720,615,18,57
104,Damietta Barrage Hpp,Africa,31.413273,31.830957,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35007dams with location,catchment,and attribute information",10,NA,2140.92,2,30,2,25,1.2
113,Mohammad Ali,Africa,30.2,31.133333,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35008dams with location,catchment,and attribute information",9,NA,40.6228,15,33,2,22.8,0.6
116,LA BARCA 1,Europe,28.3504,-14.1076,http://datasets.wri.org/dataset/globalpowerplantdatabase,,unrecord,"Global Dam Tracker:A database of more than 35009dams with location,catchment,and attribute information",8,NA,21.5359,242,882,200,20.6,1.8
117,Assiut barrage,Africa,27.20277778,31.19166667,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35010dams with location,catchment,and attribute information",3,NA,2874630,58,88,6,24.2,0.2
118,Naga Hamadi,Africa,26.13611111,32.16944444,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35011dams with location,catchment,and attribute information",10,NA,2844960,192,601,189,24,0
119,Nag-Hamady barrage,Africa,26.13611111,32.16944444,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35012dams with location,catchment,and attribute information",10,NA,2844960,192,601,189,24,0
120,New Esna,Africa,25.3175,32.55722222,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35013dams with location,catchment,and attribute information",3,NA,2813300,186,715,2,25.8,0
121,Esna barrage,Africa,25.3175,32.55722222,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35014dams with location,catchment,and attribute information",3,NA,2813300,186,715,2,25.8,0
122,El Saad-el Aali,Africa,23.95,32.866667,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35015dams with location,catchment,and attribute information",3,NA,2764040,196,474,0,28,0
125,Dal I,Africa,21.3731,30.9287,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35016dams with location,catchment,and attribute information",10,NA,98.3191,244,608,42,28,0
126,Shirri,Africa,19.138628,32.550575,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35017dams with location,catchment,and attribute information",3,NA,2333300,321,281,2,28.3,0.2
127,Dagash,Africa,19.1638,32.4508,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35018dams with location,catchment,and attribute information",9,NA,3.04136,340,465,37,28.3,0.1
128,Kajbar,Africa,19.1667,30.4833,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35019dams with location,catchment,and attribute information",9,NA,11.3541,229,59,0,27.7,0.1
129,Shereiq,Africa,19.2263,33.4752,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35020dams with location,catchment,and attribute information",3,NA,2311330,340,225,0,28.7,0.4
130,Morgat,Africa,19.287,32.6887,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35021dams with location,catchment,and attribute information",9,NA,36.868,340,435,30,28.5,0.2
132,Tossaye,Africa,16.95,-0.5666667,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35022dams with location,catchment,and attribute information",4,NA,416730,270,146,7,27.3,2
135,Sabaloka,Africa,16.3569,32.7074,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35023dams with location,catchment,and attribute information",3,NA,1985360,404,333,11,28.3,1.6
137,Labeanga,Africa,14.9883,0.7,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35024dams with location,catchment,and attribute information",4,NA,540087,252,207,1,26.8,5.9
143,Feloue,Africa,14.35,-11.35,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35025dams with location,catchment,and attribute information",7,NA,85.067,98,283,71,28.5,44.2
144,Felou,Africa,14.35,-11.35,"AQUASTAT, GRAND",,unrecord,"Global Dam Tracker:A database of more than 35026dams with location,catchment,and attribute information",7,NA,85.067,98,283,71,28.5,44.2
