X,Dam_Name,Continent,Lat,Long,Source,Flag,Article_source,ORD_FLOW,storage,up_area_sk,dem,underground,sgr_dk_rav,row_max_tmin,row_max_q
2914,CLONMEL DAM NO 2,Africa,-29.88444444,30.5725,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35000dams with location,catchment,and attribute information",7,0.27,13.4,562,573,180,18,275.7
4374,DE LIEFDE GROOTDAM,Africa,-33.49752778,19.23516667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35001dams with location,catchment,and attribute information",7,0.059,28.821,533,469,315,15.9,3.6
2674,GROOTHOEK DAM (MOUTLOATSI SETLOGELO) DAM,Africa,-29.30277778,26.84722222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35002dams with location,catchment,and attribute information",8,14,115.311,1553,524,57,14,17.1
1401,KLIPGAT RETURN WATER DAM,Africa,-25.65225,27.31305556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35003dams with location,catchment,and attribute information",9,0.836,12.1893,1202,548,53,17.6,68.6
1555,VERDWAAL NO.2 DAM,Africa,-25.33361111,31.75027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35004dams with location,catchment,and attribute information",5,0.055,9115.58,268,327,9,21,6.9
937,APPELFONTEIN A DAM,Africa,-23.41666667,29.21805556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35005dams with location,catchment,and attribute information",8,0.75,18.1187,1079,668,65,18.8,6.3
2401,LIBERTAS DAM,Africa,-27.84305556,28.85694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35006dams with location,catchment,and attribute information",8,0.226,15.7519,1655,512,85,14,21.8
4216,GWAR DAM,Africa,-32.73638889,26.325,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35007dams with location,catchment,and attribute information",8,0.2,34.3078,674,642,117,16.2,4.8
560,Thika,Africa,-0.75,37,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35008dams with location,catchment,and attribute information",7,70,19.9615,1669,337,165,12.4,11.3
4566,JANNIE LE ROUX DAM,Africa,-33.3625,21.39027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35009dams with location,catchment,and attribute information",8,0.406,57.7368,975,1098,290,13.9,1.7
4259,KWAGGASKLOOF/ BRANDVLEI DAM,Africa,-33.70027778,19.45027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35010dams with location,catchment,and attribute information",7,459,31.9654,338,338,4,18,4.1
2207,KRIEK LOWER DAM,Africa,-27.575,31.34166667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35011dams with location,catchment,and attribute information",7,0.12,0.761031,886,558,263,16.9,131.7
1202,OU PERSKEBOORD DAM,Africa,-24.42361111,28.58388889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35012dams with location,catchment,and attribute information",8,0.17,192.007,1466,736,65,16.9,7.8
5002,DAM 2,Africa,-34.02416667,22.31805556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35013dams with location,catchment,and attribute information",8,0.08,12.6333,334,624,102,17.3,2.5
1235,SEKOPO,Africa,-24.2675,28.81888889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35014dams with location,catchment,and attribute information",8,0.204,37.9563,1280,670,74,17.9,8.2
1300,LANGVERWACHT DAM,Africa,-25.07777778,30.95833333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35015dams with location,catchment,and attribute information",7,0.236,43.7345,863,521,148,18.5,8.6
2319,Dreihuk,Africa,-28.1,18.59722222,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35016dams with location,catchment,and attribute information",7,15.49,2020.99,918,483,39,18.5,5
5022,OUBOS DAM,Africa,-33.98333333,24.25277778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35017dams with location,catchment,and attribute information",7,0.197,12.6378,342,706,192,16.5,5
4307,DIE HOEK DAM,Africa,-33.62555556,18.84583333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35018dams with location,catchment,and attribute information",7,0.054,13.7626,195,394,63,17.9,4.6
1163,Nawaspoort,Africa,-24.45,16.66666667,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35019dams with location,catchment,and attribute information",7,3,649.101,1374,215,17,14.9,3.9
4249,AMANZI DAM,Africa,-33.71194444,25.50305556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35020dams with location,catchment,and attribute information",7,0.216,236.268,166,596,45,17.6,3.2
353,Kiri,Africa,9.680833333,12.01583333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35021dams with location,catchment,and attribute information",4,615,52136.5,196,181,17,25.3,355.6
779,Ruti,Africa,-19.57777778,31.73472222,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35022dams with location,catchment,and attribute information",5,132,2646.36,973,264,73,17.8,17.6
2376,SOMERSET NO.1-DAM,Africa,-27.91694444,32.26694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35023dams with location,catchment,and attribute information",8,0.18,12.5169,121,282,78,21.3,120.7
417,Oshun,Africa,8.383333333,4.816666667,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35024dams with location,catchment,and attribute information",5,8.2,661.401,396,140,18,23.3,82.7
4288,ESPERANCE-NUWE DAM,Africa,-33.65277778,19.55277778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35025dams with location,catchment,and attribute information",7,0.075,37.1874,451,555,261,17.6,3.7
2759,SAM'S DAM,Africa,-29.18361111,30.08361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35026dams with location,catchment,and attribute information",6,0.15,1152.99,1481,486,9,14.5,120.7
4025,STERKFONTEIN DAM,Africa,-32.97888889,19.22805556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35027dams with location,catchment,and attribute information",7,0.118,29.3449,976,568,351,14.4,2.6
